,Unnamed: 0,datedict,timedict,BLlist,BRList,entp,extp,percandlev,Fcv,VpTotal,VnTotal,Real,Predicted,Real_Predicted,abc,Won_Mode,Loose_Mode
117,117,2023-08-02,13:46:00,BL_11106.346,-_-8592.371,843.0,842.0,2535.49,-1128.535,1609084.54,-1571052.183,Loose,WON,Loose_WON,2.3636021635009996,-17.493423553699216,-27.295862122517832
118,118,2023-08-03,13:01:00,BL_6550.237,-_-5571.847,838.0,834.55,3177.03,-827.984,694450.432,-646795.04,Loose,WON,Loose_WON,6.862317280551423,-17.493423553699216,-27.295862122517832
119,119,2023-08-04,11:01:00,BL_1757.294,-_-1652.575,834.9,834.95,-494.48,260.716,49626.552,-57043.816,WON,Loose,WON_Loose,-14.946160273234355,-17.493423553699216,-27.295862122517832
120,120,2023-08-04,11:31:00,BL_2330.49,-_-1889.117,834.9,834.95,-304.63,-310.582,95751.3,-100320.82,WON,Loose,WON_Loose,-4.772279854163855,-17.493423553699216,-27.295862122517832
121,121,2023-08-07,11:01:00,BL_2126.719,-_-1223.61,832.7,839.45,165.71,252.782,44558.744,-42073.112,WON,WON,WON_WON,5.578325995903285,-17.493423553699216,-27.295862122517832
122,122,2023-08-08,10:16:00,BL_1448.227,-_-849.341,836.95,844.6,-105.39,150.961,7268.235,-8849.07,WON,Loose,WON_Loose,-21.749915901178213,-17.493423553699216,-27.295862122517832
123,123,2023-08-08,11:16:00,BL_2919.289,-_-1262.683,838.0,844.8,-268.6,-392.085,48611.025,-52640.05500000001,WON,Loose,WON_Loose,-8.288304967854529,-17.493423553699216,-27.295862122517832
124,124,2023-08-09,10:16:00,_2047.291,BR_-2656.87,850.8,857.85,-622.38,-437.573,30633.94,-39969.705,WON,Loose,WON_Loose,-30.475234331594322,-17.493423553699216,-27.295862122517832
125,125,2023-08-09,11:01:00,BL_4128.803,-_-2730.453,849.8,856.8,-1057.77,-697.235,125403.776,-141270.384,WON,Loose,WON_Loose,-12.652416463121483,-17.493423553699216,-27.295862122517832
126,126,2023-08-09,12:46:00,BL_6741.925,-_-6584.216,852.2,859.4,-8740.92,896.091,758709.375,-889823.13,WON,Loose,WON_Loose,-17.28115656933855,-17.493423553699216,-27.295862122517832
127,127,2023-08-09,14:16:00,BL_10209.399,-_-8175.692,857.1,860.4,-13057.34,-1313.532,1885392.306,-2081252.418,WON,Loose,WON_Loose,-10.388294859202631,-17.493423553699216,-27.295862122517832
128,128,2023-08-11,12:31:00,BL_5223.923,-_-4130.613,840.05,836.1,-3032.4,485.466,244613.544,-290099.474,Loose,Loose,Loose_Loose,-18.59501696275656,-17.493423553699216,-27.295862122517832
